,name,index,coordinates,northeast,southwest
180,Hana - رێكخراوی هانا,0,"(36.1742165, 44.0365343)","(36.17556562989272, 44.03783452989272)","(36.17286597010728, 44.03513487010728)"

181,صالون هناء ورنوش للسيدات - Hana Salon,0,"(32.0127652, 35.8783506)","(32.01413947989272, 35.87970677989272)","(32.01143982010728, 35.87700712010728)"

182,Tall Ḩarmal,0,"(33.9547222, 45.0652778)","(33.963977, 45.0812852)","(33.9454664, 45.0492704)"

183,تل حرمل,1,"(33.3095041, 44.4673653)","(33.31068817989273, 44.46872442989272)","(33.30798852010728, 44.46602477010727)"

184,חרן,0,"(36.863131, 39.024276)","(36.876378, 39.0411911)","(36.857666, 39.017099)"

185,Pasinler,0,"(39.977182, 41.6680769)","(39.986861, 41.7026981)","(39.9663769, 41.6479149)"

186,Hattusa,0,"(51.0599097, 0.1618569)","(51.06126737989272, 0.1632618798927222)","(51.05856772010727, 0.1605622201072778)"

187,ירושלים,0,"(31.768319, 35.21371)","(31.8829601, 35.2652869)","(31.7096771, 35.0854311)"

188,רשות העתיקות,1,"(31.7842528, 35.2359667)","(31.78558502989272, 35.23746612989272)","(31.78288537010727, 35.23476647010728)"

189,האוניברסיטה העברית בירושלים,2,"(31.7945578, 35.2414009)","(31.79564085, 35.24425225)","(31.79248184999999, 35.24045045)"

190,גן לאומי בית גוברין-מרשה,3,"(31.601631, 34.895464)","(31.60302727989272, 34.89855250000001)","(31.60032762010728, 34.8944345)"

191,גן לאומי מצדה,4,"(31.3114167, 35.36269550000001)","(31.31276087989272, 35.36409692989272)","(31.31006122010728, 35.36139727010728)"

192,ישראל,5,"(31.046051, 34.851612)","(33.33280500000001, 35.896244)","(29.47969999999999, 34.2673871)"

193,באר שבע,6,"(31.252973, 34.791462)","(31.3110787, 34.8438839)","(31.2118039, 34.7378901)"

194,Tel Hazor National Park - גן לאומי תל חצור-כולל מוזיאון,7,"(33.017442, 35.56818)","(33.01822987989273, 35.57045085000001)","(33.01553022010728, 35.56742305)"

195,שומרון,8,"(32.422877, 35.3027226)","(32.5520999, 35.430149)","(32.176537, 35.0653213)"

196,חיפה,9,"(32.7940463, 34.989571)","(32.842681, 35.079493)","(32.7565638, 34.954059)"

197,Tel Hazor National Park - גן לאומי תל חצור-כולל מוזיאון,0,"(33.017442, 35.56818)","(33.01822987989273, 35.57045085000001)","(33.01553022010728, 35.56742305)"

198,חילה,0,"(32.4736266, 44.4251904)","(32.5185919, 44.4662946)","(32.4258826, 44.3694019)"

199,Lake Hamrin,0,"(34.2299142, 44.98134520000001)","(34.3215053, 45.128936)","(34.0588209, 44.9268626)"

200,Buyuk Hisar,0,"(35.63303, 44.3891599)","(35.6420983, 44.4051673)","(35.6239607, 44.3731525)"

201,Ibn Hani,0,"(35.5922685, 35.7548481)","(35.59347127989272, 35.75623937989273)","(35.59077162010727, 35.75353972010728)"

202,IDU,0,"(49.40639609999999, 2.7936904)","(49.40770982989272, 2.795003879892723)","(49.40501017010727, 2.792304220107278)"

203,בלאוואת,0,"(36.222559, 43.4150933)","(36.2259962, 43.4183979)","(36.219072, 43.41114520000001)"

204,בלאוואת,0,"(36.222559, 43.4150933)","(36.2259962, 43.4183979)","(36.219072, 43.41114520000001)"

205,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

206,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

207,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

208,מסופוטמיה,1,"(34.5337527, 43.483738)","(37.06718100000001, 48.575909)","(29.1030541, 41.218105)"

209,Tell Ishchali,2,"(33.303056, 44.58425)","(33.30462267989272, 44.58615997989273)","(33.30192302010728, 44.58346032010728)"

210,Jerwan,0,"(36.6693477, 43.3953759)","(36.678297, 43.4113833)","(36.6603974, 43.3793685)"

211,Assyrian Aqueduct Jerwan,1,"(36.6697961, 43.3934151)","(36.67123962989272, 43.39611765000001)","(36.66853997010728, 43.39251425)"

212,Jerwan,0,"(36.6693477, 43.3953759)","(36.678297, 43.4113833)","(36.6603974, 43.3793685)"

213,Mount Cudi,0,"(37.369444, 42.344167)","(37.3783112, 42.3601744)","(37.3605758, 42.3281596)"

214,Hafttapeh,0,"(32.0793399, 48.399518)","(32.0923453, 48.4212597)","(32.0619502, 48.3103267)"

215,Hafttapeh,0,"(32.0793399, 48.399518)","(32.0923453, 48.4212597)","(32.0619502, 48.3103267)"

216,Kadembas Köftecisi,0,"(38.417771, 43.234106)","(38.41909147989272, 43.23550382989272)","(38.41639182010728, 43.23280417010727)"

217,Kahat,0,"(2.3643802, 96.3359009)","(2.386643, 96.35185489999999)","(2.3475219, 96.31424799999999)"

218,Kalecik,0,"(40.1065309, 33.411384)","(40.118274, 33.435825)","(40.083273, 33.40050799999999)"

219,markety kamo,0,"(35.575089, 45.4151992)","(35.57639892989272, 45.41655277989273)","(35.57369927010728, 45.41385312010728)"

